No.;Tanggal;Delik;Sektor;Instansi;Unit Kerja;Provinsi;Kabupaten/Kota;Tahun;Kode Kabupaten;Kode Provinsi
1264;04/12/14 00.00;Penyuapan;;PEMERINTAH KOTA SEMARANG;;JAWA TENGAH;SEMARANG;2014;3322;3374
1265;20/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI BANTEN;PEMERINTAH PROVINSI BANTEN;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2011;11;1171
1266;03/01/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;PT. JAMSOSTEK;;DKI JAKARTA;JAKARTA PUSAT;2006;3173;3173
1267;10/01/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;PEMERINTAH KOTA BEKASI;PEMERINTAH KOTA BEKASI;JAWA BARAT;BEKASI;2013;3216;3273
1268;06/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN NIAS SELATAN;;SUMATERA UTARA;NIAS;2011;1201;1275
1269;20/01/14 00.00;Gratifikasi;;PT. PERUSAHAAN LISTRIK NEGARA;PT. PERUSAHAAN LISTRIK NEGARA;SUMATERA UTARA;LANGKAT;2011;1213;1275
1270;11/12/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN BANTUL;;D.I. YOGYAKARTA;BANTUL;2013;3402;#N/A
1271;07/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN WONOSOBO;PEMERINTAH KABUPATEN WONOSOBO;JAWA TENGAH;WONOSOBO;2003;3307;3374
1272;10/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI LAMPUNG;PEMERINTAH PROVINSI LAMPUNG;LAMPUNG;LAMPUNG SELATAN;2013;1803;1871
1273;07/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI RIAU;PEMERINTAH PROVINSI RIAU;RIAU;PEKANBARU;2011;1471;1471
1274;29/09/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR;PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR;KALIMANTAN TENGAH;KOTAWARINGIN TIMUR;2005;6202;6271
1275;15/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI PAPUA;;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2012;11;1171
1276;02/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN LUAR NEGERI;KEMENTERIAN LUAR NEGERI;NUSA TENGGARA TIMUR;---;2006;#N/A;5371
1277;08/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEPOLISIAN DAERAH SUMATERA BARAT;KEPOLISIAN DAERAH SUMATERA BARAT;SUMATERA BARAT;PADANG;2012;1371;1371
1278;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI BENGKULU;;BENGKULU;BENGKULU;2013;1771;1771
1279;15/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA MANADO;;SULAWESI UTARA;MANADO;2013;7171;7171
1280;07/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN MUSI BANYUASIN;DINAS PU/KIMPRASWIL KABUPATEN MUSI BANYU ASIN;SUMATERA SELATAN;MUSI BANYUASIN;2011;1606;1671
1281;15/01/14 00.00;Penyuapan;;PEMERINTAH KOTA PALEMBANG;PEMERINTAH KOTA PALEMBANG;SUMATERA SELATAN;PALEMBANG;2014;1671;1671
1282;07/01/14 00.00;Pemerasan;;PENGADILAN NEGERI DENPASAR;;BALI;DENPASAR;2014;5171;5171
1283;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN NIAS SELATAN;;SUMATERA UTARA;NIAS SELATAN;2011;1214;1275
1284;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PERHUBUNGAN;DITJEN PERHUBUNGAN LAUT;JAWA TIMUR;PAMEKASAN;2009;3528;7835
1285;07/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI BENGKULU;PEMERINTAH PROVINSI BENGKULU;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
1286;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN NATUNA;PEMERINTAH KABUPATEN NATUNA;KEPULAUAN RIAU;NATUNA;2013;2103;2171
1287;02/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA SEMARANG;PEMERINTAH KOTA SEMARANG;JAWA TENGAH;SEMARANG;2007;3322;3374
1288;07/01/14 00.00;Penyuapan;-;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN BONDOWOSO;;JAWA TIMUR;BONDOWOSO;2014;3511;7835
1289;15/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN LANGKAT;DINAS KESEHATAN KABUPATEN LANGKAT;SUMATERA UTARA;LANGKAT;2013;1213;1275
1290;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;;;JAWA BARAT;BEKASI;2001;3216;3273
1291;16/01/14 00.00;Pemerasan;-;BADAN PERTANAHAN NASIONAL (BPN);BADAN PERTANAHAN NASIONAL (BPN);D.I. YOGYAKARTA;SLEMAN;2013;3404;#N/A
1292;06/01/14 00.00;Gratifikasi;;KEPOLISIAN DAERAH SUMATERA UTARA;;SUMATERA UTARA;MEDAN;2013;1275;1275
1293;08/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEPOLISIAN DAERAH SUMATERA BARAT;KEPOLISIAN DAERAH SUMATERA BARAT;SUMATERA BARAT;PADANG;2012;1371;1371
1294;07/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN WONOSOBO;PEMERINTAH KABUPATEN WONOSOBO;JAWA TENGAH;WONOSOBO;2003;3307;3374
1295;07/01/14 00.00;Pemerasan;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
1296;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2008;3173;3173
1297;20/01/14 00.00;Penyuapan;;PEMERINTAH PROVINSI GORONTALO;;GORONTALO;GORONTALO;2013;7502;7571
1298;17/01/14 00.00;Penggelapan dalam jabatan;-;KEMENTERIAN NEGARA BUMN;KEMENTERIAN NEGARA BUMN;DKI JAKARTA;JAKARTA PUSAT;2003;3173;3173
1299;07/01/14 00.00;Penyuapan;-;PEMERINTAH KOTA PALEMBANG;;SUMATERA SELATAN;PALEMBANG;2013;1671;1671
1300;20/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA PALEMBANG;PEMERINTAH KOTA PALEMBANG;SUMATERA SELATAN;PALEMBANG;2013;1671;1671
1301;10/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KANTOR MENTERI NEGARA KOMUNIKASI DAN INFORMASI;KANTOR MENTERI NEGARA KOMUNIKASI DAN INFORMASI;DKI JAKARTA;JAKARTA SELATAN;2009;3171;3173
1302;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KOTA MANADO;PEMERINTAH KOTA MANADO;SULAWESI UTARA;MANADO;2011;7171;7171
1303;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI BENGKULU;PEMERINTAH PROVINSI BENGKULU;BENGKULU;BENGKULU;2011;1771;1771
1304;09/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. PERUSAHAAN LISTRIK NEGARA;;SUMATERA UTARA;LANGKAT;2009;1213;1275
1305;02/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. INHUTANI I;;KALIMANTAN TIMUR;KUTAI KARTANEGARA;2013;6403;6471
1306;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;;;BANTEN;TANGERANG;2004;3603;3604
1307;17/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN SAMBAS;PEMERINTAH KABUPATEN SAMBAS;KALIMANTAN BARAT;SAMBAS;2004;6101;6171
1308;27/01/14 00.00;Penyuapan;;MAHKAMAH KONSTITUSI;MAHKAMAH KONSTITUSI;SUMATERA UTARA;TAPANULI TENGAH;2012;1204;1275
1309;20/01/14 00.00;Penyuapan;;PEMERINTAH KOTA PADANG PANJANG;;SUMATERA BARAT;PADANG PANJANG;2013;1374;1371
1310;16/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN PADANG LAWAS UTARA;PEMERINTAH KABUPATEN PADANG LAWAS UTARA;SUMATERA UTARA;PADANGSIDIMPUAN;2001;1277;1275
1311;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI BENGKULU;;BENGKULU;BENGKULU;2013;1771;1771
1312;20/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA BEKASI;PEMERINTAH KOTA BEKASI;JAWA BARAT;BEKASI;2013;3216;3273
1313;21/01/14 00.00;Penyuapan;EKSEKUTIF;KEMENTERIAN KEUANGAN;DITJEN PAJAK;DKI JAKARTA;JAKARTA PUSAT;2012;3173;3173
1314;22/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN LABUHAN BATU;;SUMATERA UTARA;LABUHAN BATU;2011;1207;1275
1315;27/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN PADANG LAWAS;PEMERINTAH KABUPATEN PADANG LAWAS;SUMATERA UTARA;PADANG LAWAS;2012;1221;1275
1316;20/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN NIAS SELATAN;PEMERINTAH KABUPATEN NIAS SELATAN;SUMATERA UTARA;NIAS SELATAN;2008;1214;1275
1317;22/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN NIAS SELATAN;;SUMATERA UTARA;NIAS SELATAN;2007;1214;1275
1318;21/01/14 00.00;Gratifikasi;EKSEKUTIF;BADAN PERTANAHAN NASIONAL (BPN);BADAN PERTANAHAN NASIONAL (BPN);KALIMANTAN BARAT;PONTIANAK;2012;6171;6171
1319;22/01/14 00.00;Gratifikasi;-;KEJAKSAAN TINGGI KALIMANTAN SELATAN;KEJAKSAAN TINGGI KALIMANTAN SELATAN;KALIMANTAN SELATAN;BANJARMASIN;2010;6371;6371
1320;17/01/14 00.00;Penyuapan;-;PEMERINTAH KABUPATEN TOJO UNA-UNA;PEMERINTAH KABUPATEN TOJO UNA-UNA;SULAWESI TENGAH;TOJO UNA-UNA;2004;7209;7271
1321;08/01/14 00.00;Penyuapan;-;PEMERINTAH KABUPATEN TOJO UNA-UNA;PEMERINTAH KABUPATEN TOJO UNA-UNA;SULAWESI TENGAH;TOJO UNA-UNA;2004;7209;7271
1322;13/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN GORONTALO UTARA;;GORONTALO;GORONTALO UTARA;2010;7505;7571
1323;15/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KAMPAR;PEMERINTAH KABUPATEN KAMPAR;RIAU;KAMPAR;2003;1406;1471
1324;20/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN MINAHASA UTARA;;SULAWESI UTARA;MINAHASA UTARA;2011;7106;7171
1325;23/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KOTA BEKASI;PEMERINTAH KOTA BEKASI;JAWA BARAT;BEKASI;2013;3216;3273
