No.;Tanggal;Delik;Sektor;Instansi;Unit Kerja;Provinsi;Kabupaten/Kota;Tahun;Kode Kabupaten;Kode Provinsi
320;13/05/14 00.00;Benturan kepentingan dalam pengadaan;;PEMERINTAH PROVINSI RIAU;PEMERINTAH PROVINSI RIAU;RIAU;PEKANBARU;2012;1471;1471
321;26/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN SINJAI;PEMERINTAH KABUPATEN SINJAI;SULAWESI SELATAN;SINJAI;2012;7307;7371
322;14/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEJAKSAAN TINGGI PAPUA;KEJAKSAAN TINGGI PAPUA;PAPUA;JAYAPURA;2014;9403;9471
323;21/05/14 00.00;Gratifikasi;-;PENGADILAN TINGGI KALIMANTAN SELATAN;;JAWA TIMUR;BANYUWANGI;0;3510;7835
324;23/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN BATUBARA;PEMERINTAH KABUPATEN BATUBARA;SUMATERA UTARA;BATU BARA;2011;1219;1275
325;22/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI NUSA TENGGARA TIMUR;;NUSA TENGGARA TIMUR;KUPANG;2010;5303;5371
326;12/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PEKERJAAN UMUM;SNVT PJN WILAYAH II PROVINSI SUMATRA BARAT;SUMATERA BARAT;PADANG;2010;1371;1371
327;16/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA CILEGON;;BANTEN;CILEGON;2010;3672;3604
328;14/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;LEGISLATIF;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN LAMONGAN;;JAWA TIMUR;LAMONGAN;2011;3524;7835
329;09/06/14 00.00;Penyuapan;-;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN TANAH BUMBU;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN TANAH BUMBU;KALIMANTAN SELATAN;TANAH BUMBU;2014;6310;6371
330;28/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KAMPAR;PEMERINTAH KABUPATEN KAMPAR;RIAU;KAMPAR;2012;1406;1471
331;16/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. BANK NEGARA INDONESIA;;DKI JAKARTA;JAKARTA PUSAT;2003;3173;3173
332;14/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PERHUTANI;;JAWA BARAT;PURWAKARTA;1981;3214;3273
333;14/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA GORONTALO;;GORONTALO;GORONTALO;2012;7502;7571
334;28/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PERUSAHAAN JAWATAN TELEVISI REPUBLIK INDONESIA (TVRI);PERUSAHAAN JAWATAN TELEVISI REPUBLIK INDONESIA (TVRI);DKI JAKARTA;JAKARTA PUSAT;2012;3173;3173
335;09/06/14 00.00;Penyuapan;EKSEKUTIF;PEMERINTAH KABUPATEN KAPUAS;SEKRETARIAT DPRD KABUPATEN KAPUAS;KALIMANTAN TENGAH;KAPUAS;2014;6203;6271
336;02/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEPOLISIAN DAERAH SULAWESI UTARA;;SULAWESI UTARA;MANADO;2007;7171;7171
337;08/05/14 00.00;Penyuapan;;MAHKAMAH KONSTITUSI;MAHKAMAH KONSTITUSI;DKI JAKARTA;JAKARTA PUSAT;2014;3173;3173
338;28/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KENDAL;PEMERINTAH KABUPATEN KENDAL;JAWA TENGAH;KENDAL;2012;3324;3374
339;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN KEUANGAN;;DKI JAKARTA;JAKARTA TIMUR;2008;3172;3173
340;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEJAKSAAN NEGERI MASOHI;;MALUKU;AMBON;2010;8171;8171
341;03/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;KEMENTERIAN KESEHATAN;;DKI JAKARTA;JAKARTA SELATAN;2011;3171;3173
342;06/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KUTAI KARTANEGARA;;KALIMANTAN TIMUR;KUTAI KARTANEGARA;2009;6403;6471
343;19/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LAMONGAN;;JAWA TIMUR;LAMONGAN;2005;3524;7835
344;23/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN NIAS SELATAN;PEMERINTAH KABUPATEN NIAS SELATAN;SUMATERA UTARA;NIAS SELATAN;0;1214;1275
345;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN SUMENEP;;JAWA TIMUR;SUMENEP;2011;3529;7835
346;19/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN SAMBAS;PEMERINTAH KABUPATEN SAMBAS;KALIMANTAN BARAT;SAMBAS;2004;6101;6171
347;12/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BANYUWANGI;PEMERINTAH KABUPATEN BANYUWANGI;JAWA TIMUR;BANYUWANGI;2006;3510;7835
348;26/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;YUDIKATIF;PENGADILAN NEGERI SIDOARJO;;JAWA TIMUR;SIDOARJO;2013;3515;7835
349;23/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. RAJAWALI NUSANTARA INDONESIA;;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
350;30/05/14 00.00;Gratifikasi;;PEMERINTAH PROVINSI DKI JAKARTA;;DKI JAKARTA;JAKARTA PUSAT;2014;3173;3173
351;03/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA SIBOLGA;PEMERINTAH KOTA SIBOLGA;SUMATERA UTARA;SIBOLGA;2012;1271;1275
352;03/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN MINAHASA SELATAN;PEMERINTAH KABUPATEN MINAHASA SELATAN;SULAWESI UTARA;MINAHASA SELATAN;2013;7105;7171
353;28/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KUTAI KARTANEGARA;;KALIMANTAN TIMUR;KUTAI KARTANEGARA;2010;6403;6471
354;07/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL;KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2004;11;1171
355;19/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN MINAHASA SELATAN;;SULAWESI UTARA;MINAHASA SELATAN;2011;7105;7171
356;02/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN NIAS SELATAN;PEMERINTAH KABUPATEN NIAS SELATAN;SUMATERA UTARA;NIAS SELATAN;2011;1214;1275
357;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN KEHUTANAN;KEMENTERIAN KEHUTANAN;KALIMANTAN TIMUR;KUTAI BARAT;2009;6402;6471
358;22/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LANGKAT;PEMERINTAH KABUPATEN LANGKAT;SUMATERA UTARA;LANGKAT;2010;1213;1275
359;07/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN DONGGALA;PEMERINTAH KABUPATEN DONGGALA;SULAWESI TENGAH;DONGGALA;2013;7205;7271
360;06/06/14 00.00;Gratifikasi;-;PEMERINTAH PROVINSI DKI JAKARTA;;DKI JAKARTA;JAKARTA PUSAT;2014;3173;3173
361;03/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LANGKAT;PEMERINTAH KABUPATEN LANGKAT;SUMATERA UTARA;LANGKAT;2008;1213;1275
362;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KEPULAUAN TALAUD;PEMERINTAH KABUPATEN KEPULAUAN TALAUD;SULAWESI UTARA;KEPULAUAN TALAUD;2009;7104;7171
363;09/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN TENAGA KERJA DAN TRANSMIGRASI;KEMENTERIAN TENAGA KERJA DAN TRANSMIGRASI;DKI JAKARTA;JAKARTA SELATAN;2011;3171;3173
364;30/05/14 00.00;Penyuapan;-;PENGADILAN TINGGI DKI JAKARTA;PENGADILAN TINGGI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2014;3173;3173
365;05/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN JENEPONTO;PEMERINTAH KABUPATEN JENEPONTO;SULAWESI SELATAN;JENEPONTO;2007;7304;7371
366;02/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;BUMN;PT. HUTAMA KARYA;PT. HUTAMA KARYA;DKI JAKARTA;JAKARTA SELATAN;2014;3171;3173
367;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PERTANIAN;KEMENTERIAN PERTANIAN;DKI JAKARTA;JAKARTA SELATAN;2014;3171;3173
368;09/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN KEUANGAN;;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2010;11;1171
369;21/05/14 00.00;Penyuapan;;PENGADILAN PAJAK;PENGADILAN PAJAK;DKI JAKARTA;JAKARTA PUSAT;2014;3173;3173
370;21/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PEMUDA DAN OLAHRAGA;KEMENTERIAN PEMUDA DAN OLAHRAGA;SULAWESI SELATAN;MAKASSAR;2014;7371;7371
371;30/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI KEPULAUAN RIAU;PEMERINTAH PROVINSI KEPULAUAN RIAU;KEPULAUAN RIAU;BATAM;2014;2171;2171
372;13/06/14 00.00;Penyuapan;;PENGADILAN NEGERI PONTIANAK;;KALIMANTAN BARAT;PONTIANAK;2014;6171;6171
373;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN MOJOKERTO;PEMERINTAH KABUPATEN MOJOKERTO;JAWA TIMUR;MOJOKERTO;2013;3516;7835
374;02/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN NUNUKAN;PEMERINTAH KABUPATEN NUNUKAN;KALIMANTAN TIMUR;NUNUKAN;2001;6504;6471
375;30/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN AGAMA;KEMENTERIAN AGAMA;DKI JAKARTA;JAKARTA TIMUR;2003;3172;3173
376;21/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN BANYUWANGI;;JAWA TIMUR;BANYUWANGI;2006;3510;7835
377;02/06/14 00.00;Penyuapan;;PT. KERETA API INDONESIA;PT. KERETA API INDONESIA;DKI JAKARTA;JAKARTA PUSAT;2009;3173;3173
378;03/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA SURABAYA;;JAWA TIMUR;SURABAYA;2009;3578;7835
379;02/06/14 00.00;Gratifikasi;;PEMERINTAH KABUPATEN KENDAL;PEMERINTAH KABUPATEN KENDAL;JAWA TENGAH;KENDAL;2014;3324;3374
380;11/06/14 00.00;Penyuapan;;KANTOR MENTERI NEGARA KOMUNIKASI DAN INFORMASI;;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
381;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR;DINAS KEHUTANAN DAN PERKEBUNAN KABUPATEN KOTAWARINGIN TIMUR;KALIMANTAN TENGAH;KOTAWARINGIN TIMUR;2001;6202;6271
382;13/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN AGAMA;KEMENTERIAN AGAMA;BANTEN;TANGERANG SELATAN;1995;3674;3604
383;22/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PENDIDIKAN NASIONAL;;RIAU;PEKANBARU;2010;1471;1471
384;21/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN PELALAWAN;;RIAU;PELALAWAN;2008;1404;1471
385;21/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN PELALAWAN;;RIAU;PELALAWAN;2008;1404;1471
386;28/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA PEKAN BARU;;RIAU;PEKANBARU;2013;1471;1471
387;30/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;BADAN PERTANAHAN NASIONAL (BPN);BADAN PERTANAHAN NASIONAL (BPN);JAWA BARAT;BOGOR;2014;3201;3273
388;16/04/14 00.00;Gratifikasi;;PEMERINTAH KOTA BEKASI;;JAWA BARAT;BEKASI;2014;3216;3273
389;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BREBES;PEMERINTAH KABUPATEN BREBES;JAWA TENGAH;BREBES;1997;3329;3374
390;12/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN PARIGI MOUTONG;PEMERINTAH KABUPATEN PARIGI - MOUTONG;SULAWESI TENGAH;PARIGI MOUTONG;2012;7208;7271
391;04/06/14 00.00;Penyuapan;;PEMERINTAH KABUPATEN ASAHAN;PEMERINTAH KABUPATEN ASAHAN;SUMATERA UTARA;ASAHAN;2012;1208;1275
392;21/08/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA SABANG;;NANGGROE ACEH DARUSALAM;SABANG;2012;1172;1171
393;05/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN AGAMA;;NANGGROE ACEH DARUSALAM;SEMUA KOTA;0;11;1171
394;18/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN PINRANG;;SULAWESI SELATAN;PINRANG;2006;7315;7371
395;16/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN MANOKWARI;;PAPUA BARAT;MANOKWARI;2011;9105;9105
396;02/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BOGOR;PEMERINTAH KABUPATEN BOGOR;JAWA BARAT;BOGOR;2012;3201;3273
397;19/06/14 00.00;Gratifikasi;;PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR;DINAS PERTAMBANGAN KABUPATEN KOTAWARINGIN TIMUR;KALIMANTAN TENGAH;KOTAWARINGIN TIMUR;2010;6202;6271
398;13/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KENDAL;PEMERINTAH KABUPATEN KENDAL;JAWA TENGAH;KENDAL;2012;3324;3374
399;05/06/14 00.00;Pemerasan;-;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN SAROLANGUN;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN SAROLANGUN;JAMBI;SAROLANGUN;2014;1503;1571
400;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BEKASI;;JAWA BARAT;BEKASI;2013;3216;3273
401;04/06/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;MABES TNI - AU;MABES TNI - AU;D.I. YOGYAKARTA;YOGYAKARTA;2013;3471;#N/A
402;26/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN EMPAT LAWANG;;SUMATERA SELATAN;EMPAT LAWANG;2010;1611;1671
403;11/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN NIAS SELATAN;;SUMATERA UTARA;NIAS SELATAN;2012;1214;1275
404;24/06/14 00.00;Penyuapan;EKSEKUTIF;PEMERINTAH KABUPATEN BANGKALAN;PEMERINTAH KABUPATEN BANGKALAN;JAWA TIMUR;BANGKALAN;2014;3526;7835
405;25/06/14 00.00;Penyuapan;;PENGADILAN NEGERI KOLAKA;PENGADILAN NEGERI KOLAKA;SULAWESI TENGGARA;KOLAKA;2014;7404;7471
406;11/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PELINDO III;PT. PELINDO III;JAWA TIMUR;SURABAYA;2008;3578;7835
407;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA JAKARTA TIMUR;DINAS KESEHATAN KOTA JAKARTA TIMUR;DKI JAKARTA;JAKARTA TIMUR;2010;3172;3173
408;20/06/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;KOMISI PEMBERANTASAN KORUPSI (KPK);KOMISI PEMBERANTASAN KORUPSI (KPK);BANTEN;SERANG;2014;3604;3604
409;17/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KOTA PEMATANG SIANTAR;PEMERINTAH KOTA PEMATANG SIANTAR;SUMATERA UTARA;PEMATANG SIANTAR;2011;1273;1275
410;20/06/14 00.00;Pemerasan;;KEJAKSAAN AGUNG REPUBLIK INDONESIA;KEJAKSAAN AGUNG REPUBLIK INDONESIA;BANTEN;TANGERANG SELATAN;2014;3674;3604
411;09/06/14 00.00;Penyuapan;-;KEMENTERIAN PERDAGANGAN;;DKI JAKARTA;JAKARTA PUSAT;2012;3173;3173
412;10/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;KEMENTERIAN KEUANGAN;DITJEN BEA CUKAI;BALI;DENPASAR;2014;5171;5171
413;23/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN MALUKU TENGGARA BARAT;;MALUKU;MALUKU TENGGARA BARAT;0;8101;8171
414;09/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI SULAWESI BARAT;PEMERINTAH PROVINSI SULAWESI BARAT;NANGGROE ACEH DARUSALAM;SEMUA KOTA;0;11;1171
415;09/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN KEUANGAN;;DKI JAKARTA;JAKARTA PUSAT;1990;3173;3173
416;28/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2009;11;1171
417;10/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI SUMATERA SELATAN;PEMERINTAH PROVINSI SUMATERA SELATAN;SUMATERA SELATAN;PALEMBANG;2009;1671;1671
418;09/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LANGKAT;PEMERINTAH KABUPATEN LANGKAT;SUMATERA UTARA;LANGKAT;2003;1213;1275
419;06/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PEKERJAAN UMUM;;DKI JAKARTA;JAKARTA SELATAN;2006;3171;3173
420;28/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KEPAHIANG;;BENGKULU;KEPAHIANG;2007;1708;1771
421;11/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;;DKI JAKARTA;JAKARTA BARAT;2007;3174;3173
422;12/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN MAROS;DINAS PU/KIMPRASWIL KABUPATEN MAROS;SULAWESI SELATAN;MAROS;2013;7308;7371
423;13/06/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;KEMENTERIAN KEUANGAN;DITJEN PAJAK;DKI JAKARTA;JAKARTA TIMUR;2014;3172;3173
424;14/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN TANAH BUMBU;;KALIMANTAN SELATAN;TANAH BUMBU;2010;6310;6371
425;07/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LOMBOK TIMUR;;NUSA TENGGARA BARAT;LOMBOK TIMUR;2004;5203;5271
426;21/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN PERTANIAN;KEMENTERIAN PERTANIAN;JAWA TIMUR;GRESIK;2013;3525;7835
427;19/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI GORONTALO;PEMERINTAH PROVINSI GORONTALO;GORONTALO;BOALEMO;2010;7501;7571
428;03/06/14 00.00;Penyuapan;-;PEMERINTAH KOTA PALEMBANG;PEMERINTAH KOTA PALEMBANG;SUMATERA SELATAN;PALEMBANG;2013;1671;1671
429;16/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;BUMN;PT. PERTAMINA;;DKI JAKARTA;JAKARTA PUSAT;2006;3173;3173
430;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN ROTE NDAU;PEMERINTAH KABUPATEN ROTE NDAU;NUSA TENGGARA TIMUR;ROTE NDAO;2010;5314;5371
431;26/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KOTA BARU;DINAS KEHUTANAN DAN PERKEBUNAN KABUPATEN KOTA BARU;KALIMANTAN SELATAN;KOTABARU;2005;#N/A;6371
432;17/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN SAMPANG;DINAS PERTANIAN KABUPATEN SAMPANG;JAWA TIMUR;SAMPANG;2013;3527;7835
433;16/06/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;-;;;SUMATERA UTARA;MEDAN;0;1275;1275
434;20/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;BADAN PENGAWAS TENAGA NUKLIR (BAPETEN);BADAN PENGAWAS TENAGA NUKLIR (BAPETEN);DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
435;23/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN SARMI;PEMERINTAH KABUPATEN SARMI;PAPUA;SARMI;2013;9419;9471
436;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN NGAWI;DINAS PENDIDIKAN KABUPATEN NGAWI;JAWA TIMUR;NGAWI;2012;3521;7835
437;20/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. POS INDONESIA;;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
438;19/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN TAPANULI SELATAN;;SUMATERA UTARA;TAPANULI SELATAN;2012;1203;1275
439;10/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA MALANG;DINAS PENDIDIKAN KOTA MALANG;JAWA TIMUR;MALANG;2006;3507;7835
440;20/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA PROBOLINGGO;;JAWA TIMUR;PROBOLINGGO;2010;3513;7835
441;17/06/14 00.00;Penyuapan;-;PEMERINTAH KOTA SAMARINDA;;KALIMANTAN TIMUR;SAMARINDA;0;6472;6471
